Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [16640/49000 (34%)]	Train Loss: 2.043761	Val Loss: 2.299645	Val Acc: 32
Train Epoch: 3 [17920/49000 (37%)]	Train Loss: 2.107576	Val Loss: 2.287369	Val Acc: 31
Train Epoch: 3 [19200/49000 (39%)]	Train Loss: 2.274444	Val Loss: 2.265791	Val Acc: 31
Train Epoch: 3 [20480/49000 (42%)]	Train Loss: 2.016034	Val Loss: 2.360366	Val Acc: 29
Train Epoch: 3 [21760/49000 (44%)]	Train Loss: 2.250352	Val Loss: 2.236124	Val Acc: 30
Train Epoch: 3 [23040/49000 (47%)]	Train Loss: 1.992121	Val Loss: 2.279391	Val Acc: 31
Train Epoch: 3 [24320/49000 (50%)]	Train Loss: 2.409971	Val Loss: 2.289399	Val Acc: 29
Train Epoch: 3 [25600/49000 (52%)]	Train Loss: 2.163202	Val Loss: 2.281138	Val Acc: 31
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: 2.158841	Val Loss: 2.266023	Val Acc: 30
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: 2.134568	Val Loss: 2.281777	Val Acc: 28
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: 2.324878	Val Loss: 2.293736	Val Acc: 28
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: 2.240337	Val Loss: 2.201236	Val Acc: 31
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 2.046938	Val Loss: 2.235510	Val Acc: 30
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: 2.178160	Val Loss: 2.276757	Val Acc: 27
Train Epoch: 3 [34560/49000 (70%)]	Train Loss: 2.203793	Val Loss: 2.235004	Val Acc: 31
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: 1.943864	Val Loss: 2.274249	Val Acc: 31
Train Epoch: 3 [37120/49000 (76%)]	Train Loss: 2.384111	Val Loss: 2.262032	Val Acc: 29
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: 2.263156	Val Loss: 2.234814	Val Acc: 27
Train Epoch: 3 [39680/49000 (81%)]	Train Loss: 2.285461	Val Loss: 2.187405	Val Acc: 31
Train Epoch: 3 [40960/49000 (84%)]	Train Loss: 2.049429	Val Loss: 2.203093	Val Acc: 30
Train Epoch: 3 [42240/49000 (86%)]	Train Loss: 2.268902	Val Loss: 2.233492	Val Acc: 30
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: 2.130107	Val Loss: 2.220079	Val Acc: 30
Train Epoch: 3 [44800/49000 (91%)]	Train Loss: 2.413360	Val Loss: 2.220937	Val Acc: 30
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: 2.126786	Val Loss: 2.199782	Val Acc: 31
Train Epoch: 3 [47360/49000 (97%)]	Train Loss: 2.051170	Val Loss: 2.209052	Val Acc: 32
