Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 2 [3200/49000 (7%)]	Train Loss: 1.464478	Val Loss: 1.610413	Val Acc: 46
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 1.623206	Val Loss: 1.615301	Val Acc: 47
Train Epoch: 2 [4480/49000 (9%)]	Train Loss: 1.492005	Val Loss: 1.615067	Val Acc: 44
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.438897	Val Loss: 1.628287	Val Acc: 46
Train Epoch: 2 [5760/49000 (12%)]	Train Loss: 1.509860	Val Loss: 1.677227	Val Acc: 43
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: 1.431165	Val Loss: 1.636035	Val Acc: 45
Train Epoch: 2 [7040/49000 (14%)]	Train Loss: 1.588797	Val Loss: 1.640212	Val Acc: 42
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 1.473428	Val Loss: 1.650468	Val Acc: 44
Train Epoch: 2 [8320/49000 (17%)]	Train Loss: 1.611948	Val Loss: 1.590962	Val Acc: 45
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: 1.736258	Val Loss: 1.673344	Val Acc: 43
Train Epoch: 2 [9600/49000 (20%)]	Train Loss: 1.556575	Val Loss: 1.628850	Val Acc: 44
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.574876	Val Loss: 1.602516	Val Acc: 45
Train Epoch: 2 [10880/49000 (22%)]	Train Loss: 1.655382	Val Loss: 1.591992	Val Acc: 47
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: 1.558032	Val Loss: 1.688050	Val Acc: 44
Train Epoch: 2 [12160/49000 (25%)]	Train Loss: 1.739269	Val Loss: 1.629850	Val Acc: 44
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 1.890067	Val Loss: 1.645995	Val Acc: 43
Train Epoch: 2 [13440/49000 (27%)]	Train Loss: 1.474916	Val Loss: 1.643689	Val Acc: 44
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 1.492234	Val Loss: 1.620752	Val Acc: 45
Train Epoch: 2 [14720/49000 (30%)]	Train Loss: 1.544788	Val Loss: 1.684418	Val Acc: 43
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.540597	Val Loss: 1.665583	Val Acc: 40
Train Epoch: 2 [16000/49000 (33%)]	Train Loss: 1.600215	Val Loss: 1.591297	Val Acc: 42
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 1.565130	Val Loss: 1.644804	Val Acc: 43
Train Epoch: 2 [17280/49000 (35%)]	Train Loss: 1.744220	Val Loss: 1.579032	Val Acc: 46
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 1.567950	Val Loss: 1.688849	Val Acc: 42
Train Epoch: 2 [18560/49000 (38%)]	Train Loss: 1.622014	Val Loss: 1.612657	Val Acc: 47
